,Long Phones,Number of Identical Phonemes,Number of Identical Stresses,Long Stresses,Similar Pairs Phoneme,Short Stresses,Error Word Pronunciations,Error Word,Similar Pairs Stress,Stress Evaluation,Correct Word Pronunciations,Short Phones,Phoneme Evaluation,Correct word
29,3,1,1,1,"[('T', 'Z')]",1,"[['IH1', 'T', 'S'], ['IH0', 'T', 'S']]",it's,"[('T', 'Z')]","STRESS SIMILARITY
","[['IH1', 'Z'], ['IH0', 'Z']]",2,"PHONETIC SIMILARITY
",is
30,3,1,1,1,[],1,"[['DH', 'EH1', 'M'], ['DH', 'AH0', 'M']]",them,[],"STRESS SIMILARITY
","[['AH0'], ['EY1']]",1,"PHONETIC SIMILARITY
",a
31,4,1,0,2,"[('EY1', 'G'), ('V', 'R')]",1,"[['G', 'EY1', 'V']]",gave,"[('EY1', 'G'), ('V', 'R')]","NO STRESS SIMILARITY
","[['AH0', 'G', 'R', 'IY1']]",3,"PHONETIC SIMILARITY
",agree
32,0,0,1,1,[],1,"[['DH', 'EH1', 'M'], ['DH', 'AH0', 'M']]",them,"[('DH', 'W'), ('AH0', 'IH0'), ('M', 'DH')]","STRESS SIMILARITY
","[['W', 'IH1', 'DH'], ['W', 'IH1', 'TH'], ['W', 'IH0', 'TH'], ['W', 'IH0', 'DH']]",0,"PHONETIC SIMILARITY
",with
33,0,0,1,1,[],1,"[['W', 'EH1', 'N'], ['HH', 'W', 'EH1', 'N'], ['W', 'IH1', 'N'], ['HH', 'W', 'IH1', 'N']]",when,"[('HH', 'DH'), ('W', 'AE1'), ('IH1', 'T')]","STRESS SIMILARITY
","[['DH', 'AE1', 'T'], ['DH', 'AH0', 'T']]",0,"PHONETIC SIMILARITY
",that
34,0,0,1,2,[],2,"[['TH', 'IH1', 'NG', 'K', 'IH0', 'NG']]",thinking,"[('TH', 'V'), ('IH1', 'EH1'), ('NG', 'G'), ('K', 'AH0'), ('IH0', 'N')]","NO STRESS SIMILARITY
","[['V', 'EH1', 'G', 'AH0', 'N']]",0,"PHONETIC SIMILARITY
",vegan
35,4,2,2,2,"[('IH0', 'AH0'), ('AH1', 'AY1')]",2,"[['IH0', 'N', 'AH1', 'F'], ['IY0', 'N', 'AH1', 'F']]",enough,"[('IY0', 'AH0'), ('AH1', 'AY1')]","STRESS SIMILARITY
","[['AH0', 'N', 'AY1', 'F'], ['EY1', 'N', 'AY1', 'F']]",4,"MINOR LEXICAL
",a knife
36,7,4,2,3,"[('Y', 'AW0'), ('F', 'V')]",2,"[['Y', 'ER0', 'S', 'EH1', 'L', 'F'], ['Y', 'UH0', 'R', 'S', 'EH1', 'L', 'F'], ['Y', 'AO1', 'R', 'S', 'EH0', 'L', 'F']]",yourself,"[('Y', 'AW0'), ('F', 'V')]","STRESS SIMILARITY
","[['AW0', 'ER0', 'S', 'EH1', 'L', 'V', 'Z'], ['AA0', 'R', 'S', 'EH1', 'L', 'V', 'Z']]",6,"PHONETIC SIMILARITY
",ourselves
37,3,1,1,1,"[('Z', 'T')]",1,"[['IH1', 'Z'], ['IH0', 'Z']]",is,"[('Z', 'T')]","STRESS SIMILARITY
","[['IH1', 'T', 'S'], ['IH0', 'T', 'S']]",2,"PHONETIC SIMILARITY
",it's
38,6,3,1,3,"[('N', 'OW1'), ('AH0', 'DH')]",3,"[['F', 'AY1', 'N', 'AH0', 'L', 'IY0']]",finally,"[('N', 'OW1'), ('AH0', 'DH')]","NO STRESS SIMILARITY
","[['AY1', 'N', 'OW1', 'DH', 'AH0'], ['AY1', 'N', 'OW1', 'DH', 'AH1'], ['AY1', 'N', 'OW1', 'DH', 'IY0']]",5,"PHONETIC SIMILARITY
",I know the
39,0,0,0,2,[],0,"[['EH1', 'K', 'S', 'P', 'AO0', 'R', 'T']]",export,"[('EH1', 'No arpabet available')]","NO STRESS SIMILARITY
",[['No arpabet available']],0,"PHONETIC SIMILARITY
",%UNKNOWN
40,4,1,1,2,"[('DH', 'Filler')]",1,"[['DH', 'AH0'], ['DH', 'AH1'], ['DH', 'IY0']]",the,"[('DH', 'Filler'), ('IY0', 'AH0')]","STRESS SIMILARITY
","[['Filler', 'AY1', 'M', 'AH0'], ['Filler', 'AY1', 'M', 'AH0'], ['Filler', 'AH0', 'M', 'EY1'], ['Filler', 'AH0', 'M', 'EY1']]",2,"PHONETIC SIMILARITY
",%HESITATION I'm a
41,3,1,1,1,"[('M', 'N')]",1,"[['AY1', 'M'], ['AH0', 'M']]",I'm,"[('M', 'N')]","STRESS SIMILARITY
","[['AH0', 'N', 'D'], ['AE1', 'N', 'D']]",2,"PHONETIC SIMILARITY
",and
42,2,2,1,1,[],1,"[['T', 'UW1'], ['T', 'IH0'], ['T', 'AH0']]",to,[],"STRESS SIMILARITY
","[['T', 'UW1']]",2,"HOMOPHONES
",too
43,5,1,1,1,"[('S', 'TH'), ('P', 'IH1')]",1,"[['S', 'P', 'EH1', 'N', 'D']]",spend,"[('S', 'TH'), ('P', 'IH1')]","STRESS SIMILARITY
","[['TH', 'IH1', 'N']]",3,"PHONETIC SIMILARITY
",thin
44,4,2,1,1,"[('P', 'HH')]",1,"[['P', 'L', 'IY1', 'Z']]",please,"[('P', 'HH')]","STRESS SIMILARITY
","[['HH', 'IY1', 'Z']]",3,"MINOR LEXICAL
",he's
45,5,2,0,2,"[('B', 'V'), ('IH0', 'EH1'), ('IH1', 'AH0')]",2,"[['B', 'IH0', 'G', 'IH1', 'N']]",begin,"[('B', 'V'), ('IH0', 'EH1'), ('IH1', 'AH0')]","NO STRESS SIMILARITY
","[['V', 'EH1', 'G', 'AH0', 'N']]",5,"PHONETIC SIMILARITY
",vegan
46,5,2,0,2,"[('OW1', 'AA1'), ('IY0', 'AY1')]",2,"[['OW1', 'N', 'L', 'IY0']]",only,"[('OW1', 'AO1'), ('N', 'N'), ('L', 'L'), ('IY0', 'AY1')]","NO STRESS SIMILARITY
","[['AA1', 'N', 'L', 'AY1', 'K'], ['AO1', 'N', 'L', 'AY1', 'K']]",4,"PHONETIC SIMILARITY
",on like
47,6,2,1,2,"[('W', 'W'), ('AA1', 'UH1')]",1,"[['W', 'AA1', 'N', 'T'], ['W', 'AO1', 'N', 'T']]",want,"[('AO1', 'UH1'), ('N', 'D'), ('T', 'AH0')]","STRESS SIMILARITY
","[['W', 'UH1', 'D', 'AH0', 'N', 'T']]",4,"PHONETIC SIMILARITY
",wouldn't
48,3,1,1,1,"[('T', 'DH')]",1,"[['T', 'UW1'], ['T', 'IH0'], ['T', 'AH0']]",to,"[('T', 'DH')]","STRESS SIMILARITY
","[['DH', 'AE1', 'T'], ['DH', 'AH0', 'T']]",2,"PHONETIC SIMILARITY
",that
49,4,2,2,2,"[('AW1', 'AE1'), ('T', 'D')]",2,"[['AH0', 'B', 'AW1', 'T']]",about,"[('AW1', 'AE1'), ('T', 'D')]","STRESS SIMILARITY
","[['AH0', 'B', 'AE1', 'D'], ['EY1', 'B', 'AE1', 'D']]",4,"MINOR LEXICAL
",a bad
50,0,0,0,1,[],0,[['']],%OMISSION,"[('', 'D')]","NO STRESS SIMILARITY
","[['D', 'UW1']]",0,"PHONETIC SIMILARITY
",do
51,0,0,0,5,[],0,[['']],%OMISSION,"[('', 'B')]","NO STRESS SIMILARITY
","[['B', 'IH0', 'K', 'AO1', 'Z', 'W', 'IY1', 'K', 'UH1', 'D', 'G', 'EH1', 'T'], ['B', 'IH0', 'K', 'AO1', 'Z', 'W', 'IY1', 'K', 'UH1', 'D', 'G', 'EH1', 'T'], ['B', 'IH0', 'K', 'AH1', 'Z', 'W', 'IY1', 'K', 'UH1', 'D', 'G', 'EH1', 'T'], ['B', 'IH0', 'K', 'AH1', 'Z', 'W', 'IY1', 'K', 'UH1', 'D', 'G', 'EH1', 'T'], ['B', 'IH0', 'K', 'AA1', 'Z', 'W', 'IY1', 'K', 'UH1', 'D', 'G', 'IH1', 'T'], ['B', 'IH0', 'K', 'AA1', 'Z', 'W', 'IY1', 'K', 'UH1', 'D', 'G', 'IH1', 'T'], ['B', 'IH0', 'K', 'AH0', 'Z', 'W', 'IY1', 'K', 'UH1', 'D', 'G', 'IH1', 'T'], ['B', 'IH0', 'K', 'AH0', 'Z', 'W', 'IY1', 'K', 'UH1', 'D', 'G', 'IH1', 'T']]",0,"PHONETIC SIMILARITY
",because we could get
52,3,1,1,1,"[('DH', 'JH'), ('AE1', 'EH1')]",1,"[['DH', 'AE1', 'T'], ['DH', 'AH0', 'T']]",that,"[('DH', 'JH'), ('AE1', 'EH1')]","STRESS SIMILARITY
","[['JH', 'EH1', 'T']]",3,"MINOR LEXICAL
",jet
53,4,1,1,1,"[('L', 'P'), ('AY1', 'AE1')]",1,"[['L', 'AY1', 'K']]",like,"[('L', 'P'), ('AY1', 'AE1')]","STRESS SIMILARITY
","[['P', 'AE1', 'K', 'S']]",3,"PHONETIC SIMILARITY
",packs
54,0,0,0,1,[],1,"[['S', 'EY1']]",say,"[('S', 'ER0')]","NO STRESS SIMILARITY
","[['AO1', 'R'], ['ER0']]",0,"PHONETIC SIMILARITY
",or
55,7,3,2,3,"[('AO1', 'EH1'), ('T', 'F'), ('IH0', 'OW0'), ('NG', 'N')]",3,"[['AH0', 'S', 'AO1', 'L', 'T', 'IH0', 'NG']]",assaulting,"[('AH0', 'EY1'), ('AO1', 'EH1'), ('T', 'F'), ('IH0', 'OW0'), ('NG', 'N')]","NO STRESS SIMILARITY
","[['AH0', 'S', 'EH1', 'L', 'F', 'OW0', 'N'], ['EY1', 'S', 'EH1', 'L', 'F', 'OW0', 'N']]",7,"PHONETIC SIMILARITY
",a cellphone
56,0,0,1,1,[],1,"[['T', 'UW1'], ['T', 'IH0'], ['T', 'AH0']]",to,"[('T', 'S'), ('UW1', 'OW1')]","STRESS SIMILARITY
","[['S', 'OW1']]",0,"PHONETIC SIMILARITY
",so
57,0,0,1,2,[],1,"[['TH', 'IH1', 'NG', 'K']]",think,"[('TH', 'W'), ('IH1', 'IY1'), ('NG', 'K'), ('K', 'AH0')]","STRESS SIMILARITY
","[['W', 'IY1', 'K', 'AE1', 'N'], ['W', 'IY1', 'K', 'AH0', 'N']]",0,"PHONETIC SIMILARITY
",we can
58,5,1,1,2,"[('OW1', 'K'), ('V', 'AO1')]",2,"[['OW1', 'V', 'ER0']]",over,"[('OW1', 'K'), ('V', 'AO1')]","NO STRESS SIMILARITY
","[['K', 'AO1', 'L', 'F', 'AO1', 'R'], ['K', 'AO1', 'L', 'F', 'ER0'], ['K', 'AO1', 'L', 'F', 'R', 'ER0']]",3,"PHONETIC SIMILARITY
",call for
59,0,0,0,1,[],0,[['No arpabet available']],naïve,"[('No arpabet available', 'N')]","NO STRESS SIMILARITY
","[['N', 'AY1', 'F']]",0,"PHONETIC SIMILARITY
",knife
60,0,0,0,1,[],0,"[['AO1', 'R'], ['ER0']]",or,"[('ER0', 'Filler')]","NO STRESS SIMILARITY
",[['Filler']],0,"PHONETIC SIMILARITY
",%HESITATION
61,7,2,1,3,"[('AH1', 'R'), ('M', 'EY1')]",1,"[['F', 'R', 'AH1', 'M'], ['F', 'ER0', 'M']]",from,"[('F', 'AH0'), ('ER0', 'F'), ('M', 'R')]","STRESS SIMILARITY
","[['AH0', 'F', 'R', 'EY1', 'D', 'AH1', 'V'], ['AH0', 'F', 'R', 'EY1', 'D', 'AH0', 'V']]",4,"PHONETIC SIMILARITY
",afraid of
62,6,3,1,2,"[('L', 'K'), ('AH0', 'S')]",1,"[['SH', 'AA1', 'R', 'L', 'AH0', 'T']]",Charlotte,"[('L', 'K'), ('AH0', 'S')]","STRESS SIMILARITY
","[['SH', 'AA1', 'R', 'K', 'S']]",5,"PHONETIC SIMILARITY
",sharks
63,0,0,0,3,[],0,[['']],%OMISSION,"[('', 'B')]","NO STRESS SIMILARITY
","[['B', 'IH0', 'K', 'AO1', 'Z', 'AY1', 'M'], ['B', 'IH0', 'K', 'AO1', 'Z', 'AY1', 'M'], ['B', 'IH0', 'K', 'AH1', 'Z', 'AY1', 'M'], ['B', 'IH0', 'K', 'AH1', 'Z', 'AY1', 'M'], ['B', 'IH0', 'K', 'AA1', 'Z', 'AH0', 'M'], ['B', 'IH0', 'K', 'AA1', 'Z', 'AH0', 'M'], ['B', 'IH0', 'K', 'AH0', 'Z', 'AH0', 'M'], ['B', 'IH0', 'K', 'AH0', 'Z', 'AH0', 'M']]",0,"PHONETIC SIMILARITY
",because I'm
64,5,1,1,2,"[('AH0', 'B'), ('B', 'AE1'), ('AW1', 'D')]",2,"[['AH0', 'B', 'AW1', 'T']]",about,"[('AH0', 'B'), ('B', 'AE1'), ('AW1', 'D')]","NO STRESS SIMILARITY
","[['B', 'AE1', 'D', 'AE1', 'T']]",4,"PHONETIC SIMILARITY
",bad at
65,0,0,0,2,[],0,[['No arpabet available']],20,"[('No arpabet available', 'S')]","NO STRESS SIMILARITY
","[['S', 'W', 'IH1', 'M', 'IH0', 'NG']]",0,"PHONETIC SIMILARITY
",swimming
66,0,0,0,1,[],0,[['']],%OMISSION,"[('', 'W')]","NO STRESS SIMILARITY
","[['W', 'IY1']]",0,"PHONETIC SIMILARITY
",we
67,0,0,1,1,[],1,"[['AH1', 'V'], ['AH0', 'V']]",of,"[('AH1', 'AE1'), ('V', 'T')]","STRESS SIMILARITY
","[['AE1', 'T']]",0,"PHONETIC SIMILARITY
",at
68,7,1,1,3,"[('EY1', 'IH0'), ('M', 'G')]",1,"[['G', 'EY1', 'M']]",game,"[('EY1', 'IH0'), ('M', 'G')]","STRESS SIMILARITY
","[['B', 'IH0', 'G', 'IH1', 'N', 'IH0', 'NG']]",3,"NO PHONETIC SIMILARITY
",beginning
69,4,1,1,2,"[('AW1', 'HH')]",1,"[['HH', 'AW1']]",how,"[('AW1', 'HH')]","STRESS SIMILARITY
","[['AY1', 'HH', 'AE1', 'D']]",2,"PHONETIC SIMILARITY
",I had
70,0,0,1,2,[],1,"[['D', 'UW1']]",do,"[('D', 'IH0'), ('UW1', 'T')]","STRESS SIMILARITY
","[['IH1', 'T', 'AE1', 'T'], ['IH0', 'T', 'AE1', 'T']]",0,"PHONETIC SIMILARITY
",it at
71,0,0,1,1,[],1,[['AY1']],I,"[('AY1', 'DH')]","STRESS SIMILARITY
","[['DH', 'AH0'], ['DH', 'AH1'], ['DH', 'IY0']]",0,"PHONETIC SIMILARITY
",the
72,8,2,1,3,"[('T', 'G')]",1,"[['G', 'EH1', 'T'], ['G', 'IH1', 'T']]",get,"[('T', 'G')]","STRESS SIMILARITY
","[['B', 'IH0', 'G', 'IH1', 'N', 'IH0', 'NG', 'Filler']]",3,"PHONETIC SIMILARITY
",beginning %HESITATION
73,0,0,0,1,[],0,[['No arpabet available']],Claires,"[('No arpabet available', 'F')]","NO STRESS SIMILARITY
","[['F', 'L', 'EH1', 'R', 'Z']]",0,"PHONETIC SIMILARITY
",flares
74,5,2,1,2,"[('P', 'F'), ('EY1', 'EH1'), ('ER0', 'R')]",1,"[['P', 'L', 'EY1', 'ER0', 'Z']]",players,"[('P', 'F'), ('EY1', 'EH1'), ('ER0', 'R')]","STRESS SIMILARITY
","[['F', 'L', 'EH1', 'R', 'Z']]",5,"PHONETIC SIMILARITY
",flares
75,0,0,1,1,[],1,"[['W', 'IY1', 'R'], ['W', 'IH1', 'R'], ['W', 'ER1']]",we're,"[('W', 'B'), ('ER1', 'AH1')]","STRESS SIMILARITY
","[['B', 'AH1', 'T']]",0,"PHONETIC SIMILARITY
",but
76,4,1,1,2,"[('G', 'D'), ('IH0', 'N'), ('NG', 'T')]",1,"[['G', 'OW1', 'IH0', 'NG'], ['G', 'OW1', 'IH0', 'N']]",going,"[('G', 'D'), ('IH0', 'N')]","STRESS SIMILARITY
","[['D', 'OW1', 'N', 'T'], ['D', 'OW1', 'N']]",4,"MINOR LEXICAL
",don't
77,0,0,1,1,[],1,"[['T', 'UW1'], ['T', 'IH0'], ['T', 'AH0']]",to,"[('T', 'DH'), ('UW1', 'EY1')]","STRESS SIMILARITY
","[['DH', 'EY1']]",0,"PHONETIC SIMILARITY
",they
78,7,1,0,3,"[('L', 'DH'), ('AH0', 'OW1'), ('AA1', 'L'), ('N', 'AY1'), ('Y', 'K')]",2,"[['L', 'AA0', 'S', 'AA1', 'N', 'Y', 'AH0'], ['L', 'AH0', 'Z', 'AA1', 'N', 'Y', 'AH0']]",lasagna,"[('L', 'DH'), ('AH0', 'OW1'), ('Z', 'Z'), ('AA1', 'L'), ('N', 'AY1'), ('Y', 'K')]","NO STRESS SIMILARITY
","[['DH', 'OW1', 'Z', 'L', 'AY1', 'K']]",6,"NO PHONETIC SIMILARITY
",those like
79,11,2,1,5,"[('B', 'DH'), ('EH1', 'EY1'), ('IH0', 'V'), ('JH', 'R'), ('IH0', 'EY1'), ('Z', 'D')]",3,"[['B', 'EH1', 'V', 'R', 'IH0', 'JH', 'IH0', 'Z']]",beverages,"[('B', 'DH'), ('EH1', 'EY1'), ('IH0', 'V'), ('JH', 'R'), ('IH0', 'EY1'), ('Z', 'D')]","NO STRESS SIMILARITY
","[['DH', 'EY1', 'HH', 'AE1', 'V', 'R', 'EY1', 'D', 'IY0', 'OW2', 'Z']]",8,"NO PHONETIC SIMILARITY
",they have radios
80,0,0,0,1,[],1,"[['AH0', 'N', 'D'], ['AE1', 'N', 'D']]",and,"[('AE1', 'T'), ('N', 'AH0')]","NO STRESS SIMILARITY
","[['T', 'UW1'], ['T', 'IH0'], ['T', 'AH0']]",0,"PHONETIC SIMILARITY
",to
81,0,0,1,2,[],1,"[['Y', 'UW1']]",you,"[('Y', 'L'), ('UW1', 'AY1')]","STRESS SIMILARITY
","[['L', 'AY1', 'K', 'DH', 'AH0'], ['L', 'AY1', 'K', 'DH', 'AH1'], ['L', 'AY1', 'K', 'DH', 'IY0']]",0,"PHONETIC SIMILARITY
",like the
82,5,1,1,2,"[('EY1', 'AY1'), ('T', 'K'), ('ER0', 'DH')]",2,"[['L', 'EY1', 'T', 'ER0']]",later,"[('L', 'L'), ('EY1', 'AY1'), ('T', 'K'), ('ER0', 'DH')]","NO STRESS SIMILARITY
","[['L', 'AY1', 'K', 'DH', 'AH0'], ['L', 'AY1', 'K', 'DH', 'AH1'], ['L', 'AY1', 'K', 'DH', 'IY0']]",4,"PHONETIC SIMILARITY
",like the
83,7,3,1,2,"[('R', 'N')]",1,"[['W', 'EH1', 'R'], ['HH', 'W', 'EH1', 'R']]",where,"[('HH', 'HH'), ('W', 'W')]","STRESS SIMILARITY
","[['W', 'EH1', 'N', 'DH', 'EH1', 'R'], ['HH', 'W', 'EH1', 'N', 'DH', 'EH1', 'R'], ['W', 'IH1', 'N', 'DH', 'EH1', 'R'], ['HH', 'W', 'IH1', 'N', 'DH', 'EH1', 'R']]",4,"PHONETIC SIMILARITY
",when they're
